"Service URN","Service Name","Known as","Service Type","Service Sub-Type","Provision For","Service Address Line 1","Service Address Line 2","Service Address Line 3","Service Town/City","Service Postcode","Service Address UPRN","Local Authority","Other Service Address(es)","Domiciliary care area","Primary telephone number","Primary email address","Website","Main Operating Language of Service","Flying Start Provider","Registered to deliver childcare offer","Delivers early years part time education","Maximum No. of Places","Service Ratings","Provides care during","Term Time Sunday Opening Time","Term Time Sunday Closing Time","Term Time Sunday Overnight Care Provided","Term Time Monday Opening Time","Term Time Monday Closing Time","Term Time Monday Overnight Care Provided","Term Time Tuesday Opening Time","Term Time Tuesday Closing Time","Term Time Tuesday Overnight Care Provided","Term Time Wednesday Opening Time","Term Time Wednesday Closing Time","Term Time Wednesday Overnight Care Provided","Term Time Thursday Opening Time","Term Time Thursday Closing Time","Term Time Thursday Overnight Care Provided","Term Time Friday Opening Time","Term Time Friday Closing Time","Term Time Friday Overnight Care Provided","Term Time Saturday Opening Time","Term Time Saturday Closing Time","Term Time Saturday Overnight Care Provided","Holidays Sunday Opening Time","Holidays Sunday Closing Time","Holidays Sunday Overnight Care Provided","Holidays Monday Opening Time","Holidays Monday Closing Time","Holidays Monday Overnight Care Provided","Holidays Tuesday Opening Time","Holidays Tuesday Closing Time","Holidays Tuesday Overnight Care Provided","Holidays Wednesday Opening Time","Holidays Wednesday Closing Time","Holidays Wednesday Overnight Care Provided","Holidays Thursday Opening Time","Holidays Thursday Closing Time","Holidays Thursday Overnight Care Provided","Holidays Friday Opening Time","Holidays Friday Closing Time","Holidays Friday Overnight Care Provided","Holidays Saturday Opening Time","Holidays Saturday Closing Time","Holidays Saturday Overnight Care Provided","Responsible Individual Names","Registered Person Names","Standard Conditions","Imposed Conditions","Provider URN","Provider Name","Provider Address Line 1","Provider Address Line 2","Provider Address Line 3","Provider Town/City","Provider Postcode","Provider Address UPRN","Provider Type","Company Number","Charity Number","Provider Website","Provider Registration Date","Provider Conditions","Provider No. of Approved Services","Last Updated On"
"SIN-00009561-TPCW","85 Brecon Road","","Care Home Service","Adults Without Nursing","Personal care for adults, Learning disability, Mental health","85 Brecon Road","","","Abergavenny","NP7 7RD","100100269492","Monmouthshire","","","01873853802","rachelrussell@priorygroup.com","www.priorygroup.com","English","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Kevin Mort","","The responsible individual for this service is Kevin Mort; A maximum of 5 individuals can be accommodated at this service; PARKCARE HOMES (NO.2) LIMITED is registered to provide a Care Home Service at 85 Brecon Road 85 BRECON ROAD, ABERGAVENNY NP7 7RD","","SPROV-00000528-NTTS","PARKCARE HOMES (NO.2) LIMITED","7th Floor","3 Shortlands","","London","W6 8DA","","Limited Company","04000281","","http://www.priorygroup.com/","15/07/2026","","8","28/07/2026 15:36"
"SIN-00009830-CTLR","86 Bryncelyn","","Care Home Service","Adults Without Nursing","Personal care for adults, Learning disability","86 Bryncelyn","Nelson","","Treharris","CF46 6HN","43016403","Caerphilly","","","01443451816","admin@pressltd.org","www.pressltd.org","English","","","","4","Well-being: Good; Care and Support: Good; Environment: Good; Leadership and Management: Good","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Stephen Smothers","","Planned Support Services Ltd is registered to provide a Care Home Service at 86 Bryncelyn 86 Bryncelyn Avenue, Nelson, Treharris CF46 6HL; A maximum of 4 individuals can be accommodated at this service.; The responsible individual for this service is Stephen Smothers","","SPROV-00000658-DDTP","Planned Support Services Ltd","Festival House","Victoria Business Park (5)","","Ebbw Vale","NP23 8AN","10014117931","Limited Company","05432124","","www.pressltd.org","16/04/2019","","2","29/09/2025 07:38"
"SIN-00013482-PKJM","90 Windsor Road","","Care Home Service","Adults Without Nursing","Personal care for adults, Learning disability, Mental health","90 Windsor Road","","","Penarth","CF64 1JL","100100843818","Vale of Glamorgan","","","02920394410","Jenny.EVANS@iriscaregroup.co.uk","www.iriscaregroup.co.uk","English","","","","4","Well-being: Excellent; Care and Support: Excellent; Environment: Good; Leadership and Management: Excellent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Naima Khalid","","A maximum of 4 individuals can be accommodated at this service.; Ocean Community Services Limited is registered to provide a Care Home Service at 90 Windsor Road 90 Windsor Road, Penarth, CF64 1JL; The responsible individual for this service is Naima Esmanhan Khalid","","SPROV-00000391-LJTW","Ocean Community Services Limited","Ocean Community Services (ludlow Street Healthcare) ","Unit 1, Castleton Court ","Fortran Road, St Mellons ","Cardiff ","CF3 0LT","100101042213","Limited Company","05412018","","http://www.iriscaregroup.co.uk/ocean-community-services/?site=2","07/08/2018","","3","22/06/2026 10:50"
"SIN-00006545","A Bright Start Nursery Rumney","","Childrens Day Care","Full Day Care","","A Bright Start Day Nursery Ltd","Springmeadow Business Park","Rumney","Cardiff","CF3 2ES","10091940241","Cardiff","","","02920795183","abrightstartnurseryrumney@live.co.uk","www.abrightstartnurseryrumney.co.uk","English","No","Yes","No","48","Well-being: Good; Care and Development: Good; Environment: Good; Leadership and Management: Good","Term Time and Holidays","","","","07:00","18:00","No","07:00","18:00","No","07:00","18:00","No","07:00","18:00","No","07:00","18:00","No","","","","","","","07:00","18:00","No","07:00","18:00","No","07:00","18:00","No","07:00","18:00","No","07:00","18:00","No","","","","Louise Ellis","","The responsible individual for this service is Louise Anne Ellis; The maximum number of children to be cared for at any time must not exceed 48.","","SPROV-00003758-BTRL","A Bright Start Nursery (Rumney) Ltd","A Bright Start Day Nursery Ltd","Springmeadow Business Park","Rumney","Cardiff","CF3 2ES","10091940241","Charitable Company","08716060","","","27/11/2014","","1","30/09/2025 06:02"
"SIN-00010578-SRTS","A Star Support Services","","Domiciliary Support Service","None","","Compass House","Bagillt Road","Greenfield","Holywell","CH8 7EY","100101033814","","59 Madoc Street, Llandudno, LL30 2TW","North Wales","01352710254","timrepin@astarsupportservices.co.uk","www.astarsupportservices.co.uk","English","","","","0","Well-being: Good; Care and Support: Good; Leadership and Management: Excellent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Artuom Repin","","A Star Support Services Ltd. is registered to provide a domiciliary support service in North Wales regional partnership area; The responsible individual for this service is Artuom Repin","","SPROV-00000991-QXSH","A Star Support Services Ltd.","C/o The Old Police Station ","Halkyn Street ","","Holywell ","CH8 7TX","10013711075","Limited Company","09332232","","www.astarsupportservices.co.uk","30/05/2019","","1","02/08/2026 04:34"
"SIN-00010956-CKXL","A1 Care Services trading as Ty Ceirios Nursing Home","","Care Home Service","Adults With Nursing","Nursing care for adults, Mental health, Personal care for adults","A1 Care Services Ltd","Ty Ceiros Nursing Home","","Pontypool","NP4 6TJ","10013474833","Torfaen","","","01495 752358","info@tyceiros.com","","English","","","","44","Well-being: Good; Care and Support: Good; Environment: Good; Leadership and Management: Good","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Elizabeth Healey","","A maximum of 44 individuals can be accommodated at this service.; The responsible individual for this service is Elizabeth Karen Healey; A1 Care Services Ltd is registered to provide a Care Home Service at A1 Care Services trading as Ty Ceirios Nursing Home Ty Ceirios Nursing Home , Pentrepiod Road , Pontypool  NP4 6TJ","","SPROV-00001081-FCPT","A1 Care Services Ltd","A1 Care Services Ltd","Ty Ceiros Nursing Home","","Pontypool","NP4 6TJ","10013474833","Limited Company","04120909","","","29/03/2019","","1","02/10/2025 10:08"
"SIN-00010484-RXMS","Abacare Bangor Branch","","Domiciliary Support Service","None","Supported living","Abacare Care Agency Ltd","Unit 9 Llys Onnen","Ffordd Y Llyn Parc Menai","Bangor","LL57 4DF","10070363635","","Building 4, Acorn Business Park, Flint, CH6 5YN;Abacare Wrexham , 1st Floor, Unit 12, Edison Court, Edison Way , Wrexham Tech Park , Wrexham , LL13 7YT;Building 4, Acorn Business Park, Flint, CH6 5YN","North Wales","01248677919","Bangorjobs@abacare.org.uk","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nadia Klaaste","","The responsible individual for this service is Nadia Ann Klaaste; The responsible individual for this service is Nadia Ann Klaaste; Abacaredig Holdings Ltd is registered to provide a domiciliary support service in North Wales regional partnership area","","SPROV-00000955-VHXR","Abacaredig Holdings Ltd","City & County Healthcare Group","Cardinal House","Abbeyfield Road","Nottingham","NG7 2SZ","10034856293","Limited Company","08612949","","www.abacare.org.uk","15/01/2019","","2","08/04/2025 11:18"
"SIN-00010729-DJCF","Abacare Ebbw Vale","","Domiciliary Support Service","None","Supported living","Access 465","Rassau Industrial Estate","Rassau","Ebbw Vale","NP23 5SD","10014118476","","","Gwent","01495781594","Samantha.Price@abacare.org.uk","https://abacare.org.uk/contact-us/","English","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nadia Klaaste","","The responsible individual for this service is Nadia Ann Klaaste; The responsible individual for this service is Nadia Ann Klaaste; Abacaredig Holdings Ltd is registered to provide a domiciliary support service in Gwent regional partnership area","","SPROV-00000955-VHXR","Abacaredig Holdings Ltd","City & County Healthcare Group","Cardinal House","Abbeyfield Road","Nottingham","NG7 2SZ","10034856293","Limited Company","08612949","","www.abacare.org.uk","15/01/2019","","1","07/04/2025 09:44"
"SIN-00010485-VJJM","Abacare Newtown Branch","","Domiciliary Support Service","None","Supported living","St David's House","New Street","","Newtown","SY16 1RB","10011782239","","","Powys","01686625644","Powysjobs@abacare.org.uk","https://abacare.org.uk/","English","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nadia Klaaste","","The responsible individual for this service is Nadia Ann Klaaste; The responsible individual for this service is Nadia Ann Klaaste; Abacaredig Holdings Ltd is registered to provide a domiciliary support service in Powys regional partnership area","","SPROV-00000955-VHXR","Abacaredig Holdings Ltd","City & County Healthcare Group","Cardinal House","Abbeyfield Road","Nottingham","NG7 2SZ","10034856293","Limited Company","08612949","","www.abacare.org.uk","15/01/2019","","3","27/11/2024 20:43"
"SIN-00010486-PBRF","Abacare RCT Branch","","Domiciliary Support Service","None","Supported living","Ty Cynon","Navigation Park","","Abercynon","CF45 4SN","10090597233","","","Cwm Taf Morgannwg","01443742645","rctjobs@abacare.org.uk","https://abacare.org.uk/","English","","","","0","Well-being: Good; Care and Support: Good; Leadership and Management: Good","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nadia Klaaste","","The responsible individual for this service is Nadia Ann Klaaste; The responsible individual for this service is Nadia Ann Klaaste; Abacaredig Holdings Ltd is registered to provide a domiciliary support service in Cwm Taf Morgannwg regional partnership area","","SPROV-00000955-VHXR","Abacaredig Holdings Ltd","City & County Healthcare Group","Cardinal House","Abbeyfield Road","Nottingham","NG7 2SZ","10034856293","Limited Company","08612949","","www.abacare.org.uk","15/01/2019","","4","10/10/2025 14:28"
"SIN-00010487-BXTK","Abacare Ystradgynlais Branch","","Domiciliary Support Service","None","Supported living","Abacare","8 West Street Gorseinon","","Swansea","SA4 4AA","200002958968","","","West Glamorgan","01792 457766","swanseaabacare@cchmail.co.uk","https://abacare.org.uk/","English","","","","0","Well-being: Good; Care and Support: Good; Leadership and Management: Good","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nadia Klaaste","","The responsible individual for this service is Nadia Ann Klaaste; The responsible individual for this service is Nadia Ann Klaaste; Abacaredig Holdings Ltd is registered to provide a domiciliary support service in West Glamorgan regional partnership area","","SPROV-00000955-VHXR","Abacaredig Holdings Ltd","City & County Healthcare Group","Cardinal House","Abbeyfield Road","Nottingham","NG7 2SZ","10034856293","Limited Company","08612949","","www.abacare.org.uk","15/01/2019","","5","03/06/2025 07:50"
"SIN-00004687","Abacus Day Nursery","","Childrens Day Care","Full Day Care","","42 Sketty Road","","Uplands","Swansea","SA2 0LJ","100101006117","Swansea","","","01792 205100","info@abacusdaynurseries.co.uk","www.abacusdaynurseries.co.uk","English","Yes","Yes","No","43","Well-being: Good; Care and Development: Good; Environment: Good; Leadership and Management: Good","Term Time and Holidays","","","","08:00","17:30","No","08:00","17:30","No","08:00","17:30","No","08:00","17:30","No","08:00","17:30","No","","","","","","","08:00","17:30","No","08:00","17:30","No","08:00","17:30","No","08:00","17:30","No","08:00","17:30","No","","","","Rachael Warner,Heather Hughes","","The responsible individual for this service is Heather Elizabeth Hughes; The maximum number of children to be cared for at any time must not exceed 43.; The responsible individual for this service is Rachael Jessica Warner","","SPROV-00003003-KPCB","Abacus Sketty Road Limited","56 Caswell Road","Caswell","","Swansea","SA3 4SD","100100336538","Limited Company","05224291","","","31/03/2002","","1","07/05/2026 10:58"
"SIN-00013186-PHPS","Abbey Childcare","","Childrens Day Care","Full Day Care","","C/o Abbey Primary School","Heol Penlan","Longford","Neath","SA10 7LB","10094264955","Neath Port Talbot","","","07375891886","abbeychildcareltd@gmail.com","","English","Yes","Yes","No","28","Well-being: Good; Care and Development: Good; Environment: Good; Leadership and Management: Good","Term Time and Holidays","","","","08:00","18:00","No","08:00","18:00","No","08:00","18:00","No","08:00","18:00","No","08:00","17:00","No","","","","","","","08:00","16:30","No","08:00","16:30","No","08:00","16:30","No","08:00","16:30","No","08:00","16:30","No","","","","Sacha Worth,Teresa Slater","","The responsible individual for this service is Teresa Ann Slater; The responsible individual for this service is Sacha Jade Worth; The maximum number of children to be looked after at any time must not exceed 28.","","SPROV-00005657-QNRR","Abbey Childcare ltd","C/o Abbey Primary School ","Heol Penlan ","Longford ","Neath ","SA10 7LB","10094264955","Limited Company","13917202","","","15/09/2022","","1","01/05/2025 17:35"
"SIN-00013958-BSLD","Abbey Dale House","","Care Home Service","Adults With Nursing","Nursing care for adults, Personal care for adults","Abbey Dale House","61 Princes Drive","","Colwyn Bay","LL29 8PW","100100952976","Conwy","","","07595308249","embracecarehomesltd@gmail.com","https://embracecarehomes.com/lander","English","","","","29","Well-being: Good; Care and Support: Good; Environment: Requires Improvement; Leadership and Management: Good","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Littish Dominic","","A maximum of 29 individuals can be accommodated at this service.; ECH COLWYN BAY LIMITED is registered to provide a Care Home Service at Abbey Dale House Abbey Dale House, 61 Princes Drive, Colwyn Bay, LL29 8PW; The responsible individual for this service is Littish Dominic","","SPROV-00005912-MPVW","ECH COLWYN BAY LIMITED","1 Grange Close","","","Hitchin","SG4 9HD","100080798261","Limited Company","13735523","","https://embracecarehomes.com/","05/10/2023","","1","09/06/2026 21:12"
