Service Name,Service Type,Service Sub-Type,Provision For,Service Address Line 1,Service Address Line 2,Service Town/City,Service Postcode,Local Authority,Maximum No. of Places,Primary telephone number,Primary email address,Website,Provider Name,Provider No. of Approved Services
Brynglas Bungalow,Care Home Service,Childrens Home,Personal care for children,,,Newport,,Newport,2,07800 720202,brynglas.bungalow@newport.gov.uk,www.newport.gov.uk,Newport City Council Adults and Children's Services,14
Brynhyfryd Care Home,Care Home Service,Adults Without Nursing,Personal care for adults,Brynhyfryd Care Home,Pendre,Builth Wells,LD2 3DG,Powys,42,01982 552784,brynhyfryd.manager@shaw.co.uk,www.shaw.co.uk,Shaw healthcare (Cambria) Limited,2
Brynmawr Preschool,Childrens Day Care,Full Day Care,,Brynmawr PreSchool,St Mary's Roman Catholic Church Hall,Ebbw Vale,NP23 4EF,Blaenau Gwent,30,07496067509,brynmawrpreschool@gmail.com,,,
Brynteg House,Care Home Service,Childrens Home,Personal care for children,,,Aberdare,,Rhondda Cynon Taf,4,01685481382,anneka.coombes@aropacare.co.uk,www.aropacare.co.uk,AROPA CARE GROUP LTD,2
Bryntirion,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability",Bryntirion,Hendre Road,Bridgend,CF35 6PU,Bridgend,4,01656378041,olu.fabusuyi@orbis-group.co.uk,,Orbis Education and Care Limited,4
Bryntirion Resource Centre,Care Home Service,Adults Without Nursing,Personal care for adults,Bryntirion Home & Day Centre,Pontrhydfendigaid Road,Tregaron,SY25 6JE,Ceredigion,15,01974298289,bryntirion@ceredigion.gov.uk,www.ceredigion.gov.uk,Ceredigion County Council Adults and Children's Services,9
Building Blocks Day Nursery,Childrens Day Care,Full Day Care,,Ynys Lane,,Cwmbran,NP44 2LH,Torfaen,60,01633864313,building.blocks@live.co.uk,www.buildingblocksnursery.net,,
Building Blocks Too,Childrens Day Care,Full Day Care,,Fairwater Way,,Cwmbran,NP44 4PS,Torfaen,50,01633480250,bbtoo@live.co.uk,www.buildingblocksnursery.net,,
Bumble Bees Flying Start run by Little Inspirations,Childrens Day Care,Full Day Care,,Colcot Junior and Infant School,Florence Avenue,Barry,CF62 9XH,Vale of Glamorgan,42,01446732393,bumblebees@little-inspirations.co.uk,www.little-inspirations.co.uk,Little Inspirations Ltd,8
Burleigh House,Childrens Day Care,Full Day Care,,25 Bryngwyn Road,,Newport,NP20 4JS,Newport,44,01633223458,burleigh-house@evansgroup.uk,www.burleighhousenursery.co.uk,,
Busy Bees After-School and Holiday Club,Childrens Day Care,Out of School Care,,Builth Wells CP School,Hospital Road,Builth Wells,LD2 3GA,Powys,60,01982553600,office@builth.powys.sch.uk,,Powys County Council Child Care and Play Services,2
Busy Bugs Day Nursery,Childrens Day Care,Full Day Care,,Old School,7 Banc Pendre,Kidwelly,SA17 4TA,Carmarthenshire,32,01554890868,info@busybugsdaynursery.co.uk,,,
Busy Rascals,Childrens Day Care,Out of School Care,,Ysgol Gynradd Merllyn,Foel Gron,Bagillt,CH6 6BB,Flintshire,40,01352 733366,busyrascals2009@aol.com,busyrascals2009aol.com,,
Buttercup Day Nursery,Childrens Day Care,Full Day Care,,Buttercup Day Nursery,Mission Hall,Llanelli,SA15 4HU,Carmarthenshire,24,07565582771,buttercupdaynurseryllanelli@gmail.com,,,
Buttercup House,Care Home Service,Childrens Home,"Nursing care for children, Personal care for children, Learning disability, Mental health",,,Chester,,Flintshire,1,07484 533 139,Buttercuphouse@bluestonesmedicalcomplexcare.co.uk,https://bluestonesmedicalcomplexcare.co.uk/,Bluestones Medical Complex Care Limited,10
Buttercups,Childrens Day Care,Sessional Day Care,,Swansea Children`s Centre,,Penlan,SA5 7AZ,Swansea,36,01792584619,cari.beuse@swansea.gov.uk,,City and County of Swansea Child Care and Play Services,8
Butterflies Flying Start Childcare,Childrens Day Care,Full Day Care,,Blaenymaes Primary School,Broughton Avenue Blaenymaes,Swansea,SA5 5LW,Swansea,42,01792583002,,,City and County of Swansea Child Care and Play Services,17
Buttons Nursery,Childrens Day Care,Full Day Care,,Buttons Nursery,6 Church Lane,Brecon,LD3 7AS,Powys,42,01874620170,Info@buttonsnurserybrecon.co.uk,www.buttonsnurserybrecon.co.uk,,
Buzzy Bees Nursery School,Childrens Day Care,Full Day Care,,Busy Bees,27 Chestnut Green Upper Cwmbran,Cwmbran,NP44 5TH,Torfaen,26,01633 484228,buzzybees@ymail.com,,,
Bwthyn y Ddol,Care Home Service,Childrens Home,Personal care for children,,,Colwyn Bay,,Conwy,4,01492 575307,Managers.bydresidental@conwy.gov.uk,,Conwy County Borough Council Adults and Children's Services,2
Caban y Coed,Childrens Day Care,Full Day Care,,Caban Y Coed,Tawel Y Fan,Beaumaris,LL58 8LU,Isle of Anglesey,56,07775502704,cabanycoed@gmail.com,,,
Cae Bryn House,Care Home Service,Childrens Home,,,,Bridgend,,Bridgend,4,07974083990,Paul.Harvey@bridgend.gov.uk,,Bridgend County Borough Council Adults and Children's Services,13
Cae Deri,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",The Old Vicarage,Sterry Road,Swansea,SA4 3BN,Swansea,14,01792873786,manager.CaeDeri@accomplish-group.co.uk,https://accomplish-group.co.uk,Accomplish group ltd,31
Cae Eithin ,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",23 Cae Eithin,Llangyfelach,Swansea,SA6 6EZ,Swansea,3,01792 794602,manager.caeeithin@accomplish-group.co.uk,https://accomplish-group.co.uk,Accomplish group ltd,8
Cae Glas,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults, Mental health",82 Vale Street,,Denbigh,LL16 3BW,Denbighshire,25,01745812881,info@potens-uk.com,www.potens-uk.com,Potensial Ltd,6
Caego Day Nursery,Childrens Day Care,Full Day Care,,New House,Berse Road,Wrexham,LL11 6TP,Wrexham,22,01978751840,caego-nursery@btconnect.com,www.caego-nursery.co.uk,,
Caemaen Residential Care Home,Care Home Service,Adults Without Nursing,Personal care for adults,Caemaen Care Home,Coleshill Terrace,Llanelli,SA15 3DE,Carmarthenshire,30,01554 771835,JESzubka@carmarthenshire.gov.uk,,Carmarthenshire County Council Adults and Children's Services,8
Caerau Manor,Care Home Service,Adults Without Nursing,"Nursing care for adults, Mental health, Personal care for adults",2 Caerau Crescent,,Newport,NP20 4HG,Newport,8,01633250583,melissa.griffiths@iriscaregroup.co.uk,www.iriscaregroup.co.uk,Ocean Community Services Limited,17
Caereinion After School Club,Childrens Day Care,Out of School Care,,Llanfair Caereinion Primary School,Pool Road Llanfair Caereinion,Welshpool,SY21 0SF,Powys,18,,,,,
Caergeiliog Out of School Club,Childrens Day Care,Full Day Care,,Ysgol Caergeiliog Foundation School,Lon Bach,Caergeiliog,LL65 3NP,Isle of Anglesey,86,01407740619,,,,
Caerlan,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability",East Caerlan Farm,Newbridge Road,Pontyclun,CF72 8EX,Rhondda Cynon Taf,8,01443237485,adultcare@priorygroup.com,www.priorygroup.com,PARKCARE HOMES (NO.2) LIMITED,3
Caerleon Cherubs Playgroup,Childrens Day Care,Full Day Care,,Caerleon Townhall,Church Street,Caerleon,NP18 1AW,Newport,46,07791135926,caerleoncherubs@gmail.com,,,
Caewern Lodge,Care Home Service,Adults Without Nursing,"Personal care for adults, Mental health",Caewern Lodge,Dwr Y Felin Road,Neath,SA10 7RH,Neath Port Talbot,6,02920494445,info@integraclo.org,https://nationalcaregroup.com/view/caewern-lodge/,Integra Community Living Options Limited,9
Caldi Tots Playgroup,Childrens Day Care,Sessional Day Care,,West End Flying Start Centre,Masefield Road,Caldicot,NP26 4JY,Monmouthshire,20,07966 225454,deannafriend@monmouthshire.gov.uk,,Monmouthshire County Council Child Care and Play Services,4
Camau Cyntaf  - First Steps Rainbow Room,Childrens Day Care,Full Day Care,,The Rainbow Room,Dai Davies Centre,Porth,CF39 9AZ,Rhondda Cynon Taf,28,01443683919,rainbows@camaucyntaf.co.uk,www.camaucyntaf.co.uk,Camau Cyntaf I Ddysgu C.B.C,10
Camau Cyntaf - First Steps   Pengwiniad Pentre - Pentre Penguins,Childrens Day Care,Full Day Care,,Llantwit Fardre Leisure Centre,Central Park,Pontypridd,CF38 1RJ,Rhondda Cynon Taf,30,07983368003,pentre@camaucyntaf.co.uk,www.camaucyntaf.co.uk,Camau Cyntaf I Ddysgu C.B.C,8
Camau Cyntaf - First Steps Penrhiwceibr,Childrens Day Care,Full Day Care,,The Cozy Cabin,Perhiwceibr Primary School,Mountain Ash,CF45 3YD,Rhondda Cynon Taf,30,01443476116,penrhiwceibr@camaucyntaf.co.uk,www.camaucyntaf.co.uk,Camau Cyntaf I Ddysgu C.B.C,6
Camau Cyntaf - First Steps Pontypridd,Childrens Day Care,Full Day Care,,Camau Cyntaf - First Steps Nursery,Unit 6 Maritime Offices,Pontypridd,CF37 1DZ,Rhondda Cynon Taf,40,01443406831,pontypridd@camaucyntaf.co.uk,https://www.firststeps.wales,Camau Cyntaf I Ddysgu C.B.C,3
Camau Cyntaf - First Steps Rhydyfelin,Childrens Day Care,Full Day Care,,Rhydefelin Childrens Integrated Centre,Holly Street,Pontypridd,CF37 5DB,Rhondda Cynon Taf,40,01443492050,rhydyfelin@camaucyntaf.co.uk,www.camaucyntaf.co.uk,Camau Cyntaf I Ddysgu C.B.C,1
Camau Cyntaf Gruffalos Den,Childrens Day Care,Full Day Care,,Gruffalos Den Nursery,Glyncoch Community Regeneration Centre,Pontypridd,CF37 3DA,Rhondda Cynon Taf,24,01443209966,gruffalos@camaucyntaf.co.uk,www.camaucyntaf.co.uk,Camau Cyntaf I Ddysgu C.B.C,2
Camau Cyntaf Llanhari / First Steps Llanhari,Childrens Day Care,Full Day Care,,Caban Clyd,Ysgol Llanhari,Pontyclun,CF72 9XE,Rhondda Cynon Taf,69,07852952002,llanhari@camaucyntaf.co.uk,www.camaucyntaf.co.uk,Camau Cyntaf I Ddysgu C.B.C,4
Camau Cyntaf Nantgwyn - First Steps Nantgwyn,Childrens Day Care,Full Day Care,,Ysgol Nant Gwyn,Llewellyn Street,Tonypandy,CF40 1HQ,Rhondda Cynon Taf,28,01443209966,nantgwyn@camaucyntaf.co.uk,,Camau Cyntaf I Ddysgu C.B.C,7
Camau Cyntaf Penpych - First Steps Penpych,Childrens Day Care,Full Day Care,,Pen Pych Community Primary School,Blaenrhondda Road,Treorchy,CF42 5SD,Rhondda Cynon Taf,24,01443771314,penpych@camaucyntaf.co.uk,www.camaucyntaf.co.uk,Camau Cyntaf I Ddysgu C.B.C,9
Cambridge House,Care Home Service,Childrens Home,Personal care for children,,,Newport,,Newport,6,01633656656,louise.quatermass@newport.gov.uk,,Newport City Council Adults and Children's Services,3
Cardiff short Breaks ( Ty Storrie),Care Home Service,Childrens Home,Personal care for children,,,Cardiff,,Cardiff,6,02920838630,Ceri.Jones6@Cardiff.gov.uk,www.cardiff.gov.uk,Cardiff Council Adults and Children's Services,11
Cardiff Sixth Form College,Boarding School,None,,Cardiff Sixth Form College,1-3 Trinity Court,Cardiff,CF24 0AA,Cardiff,0,,,,,
Cariad a Cwtch Day Nursery,Childrens Day Care,Full Day Care,,33 Queen Street,,Llandovery,SA20 0BU,Carmarthenshire,18,01550938364,cariadacwtch15@gmail.com,,,
Carn ingli Childrens Home,Care Home Service,Childrens Home,Personal care for children,,,Aberdare,,Rhondda Cynon Taf,2,01685661003,Laura.parry@rctcbc.gov.uk,,Rhondda Cynon Taff County Borough Council Adults and Children's Services,21
Carnation House,Care Home Service,Childrens Home,Personal care for children,,,Holywell,,Flintshire,2,07484942443,carnationhouse@blustonesmedicalcomplexcare.co.uk,https://bluestonesmedicalcomplexcare.co.uk/,Bluestones Medical Complex Care Limited,5
Cartef Residential Care Home,Care Home Service,Adults Without Nursing,Personal care for adults,Cartref Care Home,Brecon Road Hay-on-wye,Hereford,HR3 5PJ,Powys,23,01497820621,cartref.manager@shaw.co.uk,www.shaw.co.uk,Shaw healthcare (Cambria) Limited,10
Cartref Cleddau,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults, Mental health",Care Home,Fort Road,Pembroke Dock,SA72 6SX,Pembrokeshire,24,01646621105,catrefcleddau.manager@shaw.co.uk,https://www.shaw.co.uk/services/7-mental-health/107-surehaven-pembroke-dock?ic=1,Shaw healthcare (Cambria) Limited,7
Cartref Clyd Cae Ffynnon,Care Home Service,Childrens Home,Personal care for children,,,Amlwch,,Isle of Anglesey,2,01407 832067,sianmorgan@ynysmon.llyw.cymru,https://www.anglesey.gov.wales/en/Residents/social-care-and-wellbeing/Section.aspx,Isle of Anglesey County Council Adults and Children's Services,4
Cartref Clyd Caergybi,Care Home Service,Childrens Home,"Personal care for children, Learning disability",,,Holyhead,,Isle of Anglesey,2,01407769811,RhianCarter@ynysmon.llyw.cymru,https://www.anglesey.gov.wales/en/Residents/social-care-and-wellbeing/Section.aspx,Isle of Anglesey County Council Adults and Children's Services,1
Cartref Clyd Môn,Care Home Service,Childrens Home,Personal care for children,,,Llanfairpwllgwyngyll,,Isle of Anglesey,2,07971578099,llinosjones2@ynysmon.llyw.cymru,https://www.anglesey.gov.wales/en/Residents/social-care-and-wellbeing/Section.aspx,Isle of Anglesey County Council Adults and Children's Services,2
Cartref Clyd Mon Bryn Hwfa,Care Home Service,Childrens Home,Personal care for children,,,Llangefni,,Isle of Anglesey,1,01248724883,sianmorgan@ynysmon.gov.uk,https://www.anglesey.gov.wales/en/Residents/social-care-and-wellbeing/Section.aspx,Isle of Anglesey County Council Adults and Children's Services,3
Cartref Dyfi Care Home,Care Home Service,Adults Without Nursing,Personal care for adults,Cartref Dyfi Care Home,Bank Lane,Machynlleth,SY20 8EL,Powys,28,01654 702955,cartrefdyfi.manager@shaw.co.uk,www.shaw.co.uk,Shaw healthcare (Cambria) Limited,3
Cartref Mynydd,Care Home Service,Childrens Home,,,,Porth,,Rhondda Cynon Taf,4,01443424839,charlotte.Ajax@rctcbc.gov.uk,,Rhondda Cynon Taff County Borough Council Adults and Children's Services,2
Cartref Mynydd,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability",Cartref Mynydd,Tir Bach Farm,Pontarddulais,SA4 8NJ,Swansea,5,01792983118,ceri.davies@orbis-group.co.uk,www.orbis-group.co.uk,Orbis Education and Care Limited,5
Cartref Porthceri ,Care Home Service,Adults Without Nursing,Personal care for adults,Cartref Porthceri,91 Salisbury Road,Barry,CF62 6PU,Vale of Glamorgan,30,01446739438,cartrefporthceri@valeofglamorgan.gov.uk,https://www.valeofglamorgan.gov.uk/en/living/social_care/adult_services/Care-and-Support/Residential-Homes/Residential-Homes.aspx,Vale of Glamorgan Council Adults and Children's Services,2
Castle Day Nursery,Childrens Day Care,Full Day Care,,Tremafon,Gwindy Street,Rhyl,LL18 2US,Denbighshire,59,01745 590977,rachel@castledaynursery.com,,,
Castle Kids Childcare,Childrens Day Care,Full Day Care,,Gaer Community Centre,Gaer Road,Newport,NP20 3GY,Newport,40,01633 631733,,,Newport City Council Child Care and Play Service,2
Castle View,Care Home Service,Adults Without Nursing,Personal care for adults,Castle View Aged Persons Residence,Claude Road,Caerphilly,CF83 1UZ,Caerphilly,28,02920852554,chattm@caerphilly.gov.uk,www.caerphilly.gov.uk,Caerphilly County Borough Council Adults and Children's Services,9
Caterpillar Creche,Childrens Day Care,Creche,,Flying Start Family Centre,Gladstone Road,Barry,CF63 1NH,Vale of Glamorgan,12,,,,Vale of Glamorgan Council Child Care and Play Services,3
Cedar House,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",6-10 Llys Gwynfryn,,Neath,SA10 7UB,Neath Port Talbot,14,01639633091,Claire.Lewis@accomplish-group.co.uk,https://accomplish-group.co.uk,Accomplish group ltd,32
Cefn Cottage,Care Home Service,Childrens Home,Personal care for children,,,Abergavenny,,Monmouthshire,4,01873840592,info@steppingstones.wales,steppingstonescareservices.co.uk,Stepping Stones Care Services (South Wales) Limited,8
Cefn Road,Care Home Service,Childrens Home,"Nursing care for children, Personal care for children, Learning disability, Mental health",,,Wrexham,,Wrexham,3,01978298788,martin.katawaluwa@wrexham.gov.uk,,Wrexham County Borough Council Adults and Children's Services,3
Cefn Rodyn,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",Maes Caled,,Dolgellau,LL40 1UG,Gwynedd,21,01341422975,traceygardener@gwynedd.llyw.cymru,,Gwynedd Council Adults and Children's Services,3
Cefn y Rhallt,Care Home Service,Childrens Home,Personal care for children,,,Welshpool,,Powys,2,01686640714,enquiries@newreflexions.co.uk,www.newreflexions.co.uk,Reflexion Care Group Ltd,6
Ceiriosen Bren,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",Ceriosen Bren,,Llandysul,SA44 6HS,Ceredigion,5,01792 885126,enquiries@manddcare.co.uk,https://mdcareltd.co.uk,M&D Care Operations Ltd,12
Centrica Lodge,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability",Centrica Lodge,Gaer Road,Newport,NP20 3GX,Newport,6,01633 839768,Centrica.lodge@newport.gov.uk,www.newport.gov.uk,Newport City Council Adults and Children's Services,2
Ceris Newydd Nursing Home,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults",Ceris Newydd Nursing Home,Treborth,Bangor,LL57 2RQ,Gwynedd,77,01248360590,manager.cn-gm@fairways.org.uk,www.fairways.org.uk,Fairways Care Ltd,5
Cewri Bach,Childrens Day Care,Sessional Day Care,,Ysgol Y Cribarth,School Road Abercrave,Swansea,SA9 1XD,Powys,36,01639731500,office@cribarth.powys.sch.uk,,Powys County Council Child Care and Play Services,17
Cherry,Care Home Service,Adults Without Nursing,,Mental Health Care Uk,Alexander House Highfield Park,Denbigh,LL16 4LU,Denbighshire,2,01824572025,hello@mhc-uk.com,,Mental Health Care (U.K) Limited,9
Chestnut Lodge,Care Home Service,Childrens Home,Personal care for children,,,Neath,,Neath Port Talbot,4,01639287434,nicola.llewellyn@aropacare.co.uk,www.aropacare.co.uk,AROPA CARE GROUP LTD,1
Childsplay Nursery at Marsh Street,Childrens Day Care,Full Day Care,,Childsplay Nursery,Marsh Street,Llanelli,SA15 1AU,Carmarthenshire,91,01554777936,childsplay90@hotmail.co.uk,www.childsplay-nursery.com,,
Christ College,Boarding School,None,,Bridge Street,,Brecon,LD3 8AF,Powys,280,,,www.christcollegebrecon.com,,
Church View,Care Home Service,Adults Without Nursing,"Personal care for adults, Mental health",Churchview Care Home,13 St. Martins Road,Caerphilly,CF83 1EF,Caerphilly,45,02920852951,ChurchView.HomeManager@hc-one.co.uk,https://www.hc-one.co.uk,HC-One Limited,3
Cildaudy Farm,Care Home Service,Childrens Home,Personal care for children,,,Bridgend,,Bridgend,4,01656721624,cildaudy@landskercare.co.uk,www.landskerchildcare.co.uk,Landsker Child Care Ltd,8
Cildewi,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",Cilddewi House,Heol Salem,Carmarthen,SA31 3HS,Carmarthenshire,7,01267 232788,ruth.james-murray@accomplish-group.co.uk,https://accomplish-group.co.uk,Accomplish group ltd,33
